size,bcost,icost,scost,mcost,qcost,qcostm
191,36100,9748,18145,1211,1340,1122
192,36481,9308,18336,1211,1254,1118
193,36864,9442,18528,1228,1489,1161
194,37249,9488,18721,1232,1489,1143
195,37636,10081,18915,1244,1490,1145
196,38025,10169,19110,1254,1478,1160
197,38416,9614,19306,1271,1448,1168
198,38809,10104,19503,1275,1474,1219
199,39204,9436,19701,1269,1536,1217
200,39601,10012,19900,1286,1548,1191
201,40000,9827,20100,1284,1490,1207
202,40401,10008,20301,1301,1535,1208
203,40804,10752,20503,1299,1392,1279
204,41209,10783,20706,1312,1757,1267
205,41616,11446,20910,1322,1653,1259
206,42025,11428,21115,1337,1535,1228
207,42436,10794,21321,1335,1570,1253
208,42849,11409,21528,1353,1574,1253
209,43264,11136,21736,1358,1906,1275
210,43681,10792,21945,1369,1469,1268
211,44100,10299,22155,1375,1564,1328
212,44521,11260,22366,1382,1726,1331
213,44944,10842,22578,1375,1694,1298
214,45369,11100,22791,1390,1668,1320
215,45796,11744,23005,1398,1819,1311
216,46225,11066,23220,1420,2052,1324
217,46656,11166,23436,1430,1855,1325
218,47089,11774,23653,1416,1796,1349
219,47524,11378,23871,1450,1811,1350
220,47961,12396,24090,1445,1685,1434
221,48400,12018,24310,1456,1674,1336
222,48841,12894,24531,1437,1756,1362
223,49284,11672,24753,1469,1607,1365
224,49729,12269,24976,1464,2088,1367
225,50176,12514,25200,1482,1707,1412
226,50625,12767,25425,1488,1740,1399
227,51076,13096,25651,1498,1750,1372
228,51529,13367,25878,1496,1710,1403
229,51984,13574,26106,1504,1879,1421
230,52441,14055,26335,1526,1915,1439
231,52900,13000,26565,1513,1591,1433
232,53361,13609,26796,1524,1737,1442
233,53824,12703,27028,1550,1757,1440
234,54289,13126,27261,1547,1808,1490
235,54756,14211,27495,1563,1883,1461
236,55225,14135,27730,1551,1822,1505
237,55696,14323,27966,1562,1949,1459
238,56169,12399,28203,1586,2082,1476
239,56644,13246,28441,1588,1821,1506
240,57121,14038,28680,1595,1999,1507
241,57600,14183,28920,1590,1918,1502
242,58081,15277,29161,1608,1943,1512
243,58564,15236,29403,1628,1810,1507
244,59049,14712,29646,1623,2085,1533
245,59536,15137,29890,1648,1828,1554
246,60025,13912,30135,1644,2005,1575
247,60516,14828,30381,1661,2066,1613
248,61009,14991,30628,1662,1908,1535
249,61504,15654,30876,1672,1848,1552
250,62001,15365,31125,1673,1972,1704
251,62500,16666,31375,1685,2112,1587
252,63001,16468,31626,1679,2451,1679
253,63504,15554,31878,1691,1995,1614
254,64009,16317,32131,1710,2068,1682
255,64516,15255,32385,1708,2146,1725
256,65025,15694,32640,1720,2271,1612
257,65536,16188,32896,1735,2172,1640
258,66049,16327,33153,1754,2740,1654
259,66564,17653,33411,1748,2020,1629
260,67081,16721,33670,1755,2264,1663
261,67600,15712,33930,1773,2361,1703
262,68121,16685,34191,1789,2242,1690
263,68644,16239,34453,1794,2128,1710
264,69169,16790,34716,1801,2345,1728
265,69696,17465,34980,1818,2218,1693
266,70225,17566,35245,1809,2202,1683
267,70756,16705,35511,1814,2054,1743
268,71289,17821,35778,1844,2315,1754
269,71824,19055,36046,1833,2294,1790
270,72361,17029,36315,1846,2036,1717
271,72900,17411,36585,1849,2192,1721
272,73441,19024,36856,1876,2437,1770
273,73984,18195,37128,1882,2098,1759
274,74529,19673,37401,1864,2248,1782
275,75076,18368,37675,1875,2516,1753
276,75625,18177,37950,1887,2337,1751
277,76176,19868,38226,1913,2652,1895
278,76729,19081,38503,1929,2446,1776
279,77284,19601,38781,1909,2305,1828
280,77841,18104,39060,1927,2200,1816
281,78400,21094,39340,1940,2639,1800
282,78961,18645,39621,1948,2515,1847
283,79524,20315,39903,1961,2208,1837
284,80089,21379,40186,1964,2287,1907
285,80656,19531,40470,1962,2160,1875
286,81225,20702,40755,1994,2365,1865
287,81796,21080,41041,1993,2492,1885
288,82369,20287,41328,1984,2536,1922
289,82944,20617,41616,1992,2340,1917
290,83521,19117,41905,2018,2385,1926
291,84100,22352,42195,2041,2266,1892
292,84681,22479,42486,2019,2516,1910
293,85264,21798,42778,2044,2536,1956
294,85849,20493,43071,2044,2506,2026
295,86436,19828,43365,2043,2441,2032
296,87025,21252,43660,2082,2375,1918
297,87616,22313,43956,2072,2759,2034
298,88209,23009,44253,2075,2228,1956
299,88804,21953,44551,2097,2396,1968
300,89401,21742,44850,2099,2597,2027
301,90000,22656,45150,2119,2452,1986
302,90601,22322,45451,2119,2601,1987
303,91204,23474,45753,2125,2487,2043
304,91809,22499,46056,2145,2713,2114
305,92416,24794,46360,2138,2397,2015
306,93025,23656,46665,2166,2579,2079
307,93636,22928,46971,2155,2823,2036
308,94249,22554,47278,2175,2687,2037
309,94864,23280,47586,2183,2592,2108
310,95481,24621,47895,2174,2653,2062
311,96100,24355,48205,2182,2960,2058
312,96721,24185,48516,2186,2927,2077
313,97344,23039,48828,2197,2874,2061
314,97969,24879,49141,2208,2879,2137
315,98596,24029,49455,2217,2843,2119
316,99225,23353,49770,2249,2963,2104
317,99856,24398,50086,2237,2953,2131
318,100489,25487,50403,2244,2677,2142
319,101124,24781,50721,2257,2621,2134
320,101761,24878,51040,2266,2684,2277
321,102400,26870,51360,2275,2596,2135
322,103041,24620,51681,2286,3142,2160
323,103684,25925,52003,2285,2914,2188
324,104329,24297,52326,2288,2809,2172
325,104976,25373,52650,2294,2966,2269
326,105625,27448,52975,2311,2793,2159
327,106276,27008,53301,2330,2781,2181
328,106929,25841,53628,2321,2677,2201
329,107584,26610,53956,2355,2891,2203
330,108241,26320,54285,2352,2839,2189
331,108900,26846,54615,2344,2734,2196
332,109561,25787,54946,2361,2682,2259
333,110224,27544,55278,2363,2742,2273
334,110889,28555,55611,2394,3040,2275
335,111556,26583,55945,2380,2722,2249
336,112225,26133,56280,2413,3172,2275
337,112896,28341,56616,2406,3298,2412
338,113569,31457,56953,2415,2998,2269
339,114244,30747,57291,2412,2845,2265
340,114921,27473,57630,2404,3162,2318
341,115600,29984,57970,2422,3000,2300
342,116281,29883,58311,2462,2781,2312
343,116964,28491,58653,2448,3002,2348
344,117649,28611,58996,2473,2710,2315
345,118336,30703,59340,2479,3046,2345
346,119025,29081,59685,2480,2898,2418
347,119716,30862,60031,2496,2826,2324
348,120409,31852,60378,2502,3071,2355
349,121104,31199,60726,2504,3023,2382
350,121801,30925,61075,2548,3352,2404
351,122500,31099,61425,2542,2857,2367
352,123201,28567,61776,2552,2982,2396
353,123904,31065,62128,2523,2931,2412
354,124609,32004,62481,2551,3227,2418
355,125316,34356,62835,2568,3428,2398
356,126025,30522,63190,2595,2888,2472
357,126736,31532,63546,2556,3081,2428
358,127449,31103,63903,2599,2851,2488
359,128164,32337,64261,2612,3035,2461
360,128881,30372,64620,2621,3229,2469
361,129600,32277,64980,2633,3302,2558
362,130321,32565,65341,2635,3184,2469
363,131044,32971,65703,2646,3617,2445
364,131769,32834,66066,2630,3400,2518
365,132496,34188,66430,2650,3574,2507
366,133225,32371,66795,2672,3916,2536
367,133956,34107,67161,2678,3329,2535
368,134689,34704,67528,2662,3275,2512
369,135424,35929,67896,2690,3435,2523
370,136161,35970,68265,2697,3081,2552
371,136900,31775,68635,2720,3152,2557
372,137641,33096,69006,2704,2900,2545
373,138384,34739,69378,2739,3080,2556
374,139129,34959,69751,2756,3541,2562
375,139876,34792,70125,2724,3136,2574
376,140625,35545,70500,2748,3765,2606
377,141376,37443,70876,2748,3091,2608
378,142129,37153,71253,2762,3437,2611
379,142884,36653,71631,2771,3184,2609
380,143641,34029,72010,2779,3218,2632
381,144400,34996,72390,2781,3450,2615
382,145161,35778,72771,2797,3257,2633
383,145924,35302,73153,2828,3674,2674
384,146689,34763,73536,2804,3664,2650
385,147456,36751,73920,2825,3393,2632
386,148225,35963,74305,2837,3367,2682
387,148996,37577,74691,2862,3606,2742
388,149769,37968,75078,2847,3391,2666
389,150544,38476,75466,2860,3583,2696
390,151321,39500,75855,2879,3210,2751
391,152100,40534,76245,2881,3622,2722
392,152881,37072,76636,2898,3389,2706
393,153664,40107,77028,2889,3252,2807
394,154449,40090,77421,2888,3444,2826
395,155236,38583,77815,2903,3497,2734
396,156025,38840,78210,2935,3325,2795
397,156816,38762,78606,2930,3695,2781
398,157609,39541,79003,2951,3678,2809
399,158404,39313,79401,2968,3478,2755
400,159201,40088,79800,2962,3414,2761
401,160000,41164,80200,2973,3461,2797
402,160801,40411,80601,2982,3614,2798
403,161604,41899,81003,2991,3531,2848
404,162409,39253,81406,2998,3601,2806
405,163216,41085,81810,3012,3166,2856
